City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
239,tual,-5.6667,132.75,24.96,76,99,10.32,ID,1690284798
240,tabou,4.423,-7.3528,26.55,81,100,4.94,CI,1690284799
241,tazovsky,67.4667,78.7,21.59,49,34,5.23,RU,1690284800
242,kamyzyak,46.11,48.0736,25.99,57,40,4.0,RU,1690284502
243,cadale,2.7603,46.3222,26.75,73,66,10.42,SO,1690284801
244,sao vicente,-23.9631,-46.3919,24.04,100,0,0.0,BR,1690284802
245,brokopondo,4.75,-55.1667,25.97,85,64,1.97,SR,1690284802
246,magadan,59.5667,150.8,16.41,88,14,1.76,RU,1690284803
247,tolanaro,-25.0319,46.9987,23.04,68,40,9.26,MG,1690284803
248,uporovo,56.3109,66.2693,25.04,48,50,3.81,RU,1690284804
249,lagos,6.5833,3.75,28.18,63,53,3.47,NG,1690284804
250,puerto ayacucho,5.6639,-67.6236,24.13,93,73,1.67,VE,1690284805
251,sandnessjoen,66.0217,12.6316,22.29,64,20,2.57,NO,1690284805
252,dryden,49.7833,-92.7503,16.16,72,100,2.57,CA,1690284806
253,hobyo,5.3505,48.5268,27.56,66,79,14.52,SO,1690284806
254,la ronge,55.1001,-105.2842,16.14,88,0,3.6,CA,1690284807
255,minot,48.2325,-101.2963,24.12,73,0,7.2,US,1690284540
256,oblivskaya,48.5362,42.5014,31.49,29,5,3.79,RU,1690284807
257,vetluzhskiy,58.3902,45.4654,18.73,80,78,2.34,RU,1690284808
258,menongue,-14.6585,17.691,30.01,13,4,3.34,AO,1690284808
259,barabai,-2.5833,115.3833,26.02,75,97,1.59,ID,1690284809
260,nadym,65.5333,72.5167,21.91,69,100,5.58,RU,1690284809
261,naeso,35.2497,128.52,25.6,94,0,0.0,KR,1690284809
262,santa elena de uairen,4.6167,-61.1333,21.19,87,84,0.27,VE,1690284810
263,tazacorte,28.629,-17.9293,25.54,78,20,6.17,ES,1690284810
264,anadyr,64.75,177.4833,10.28,81,40,2.0,RU,1690284811
265,temerluh,3.4506,102.4176,30.55,83,100,0.45,MY,1690284811
266,loushanguan,28.1375,106.82,23.41,93,99,0.89,CN,1690284812
267,geraldton,-28.7667,114.6,16.23,63,100,4.12,AU,1690284812
268,tsumeb,-19.2333,17.7167,27.66,11,86,5.08,NA,1690284812
269,lethbridge,49.7,-112.8186,22.81,35,100,2.06,CA,1690284813
270,sinabang,2.4803,96.3801,27.76,76,22,2.38,ID,1690284813
271,taunggyi,20.7833,97.0333,22.49,85,93,1.11,MM,1690284587
272,coquimbo,-29.9533,-71.3436,10.85,93,0,4.63,CL,1690284814
273,laguna,38.421,-121.4238,21.16,71,0,3.09,US,1690284814
274,bandar-e genaveh,29.5791,50.517,39.01,41,8,5.53,IR,1690284815
275,labrador city,52.9463,-66.9114,17.95,72,75,1.03,CA,1690284815
276,kingston,17.997,-76.7936,27.53,84,20,1.03,JM,1690284815
277,cantemir,46.2781,28.2008,39.1,19,12,7.38,MD,1690284815
278,guider,9.9342,13.9486,36.42,32,18,3.48,CM,1690284816
279,sakaiminato,35.55,133.2333,28.96,89,40,1.54,JP,1690284805
280,tarawa,1.419,172.984,26.05,94,75,0.0,KI,1690284817
281,kailua-kona,19.6406,-155.9956,28.11,90,0,4.12,US,1690284817
282,faya-largeau,17.9257,19.1043,43.94,10,0,8.23,TD,1690284817
283,kapa'a,22.0752,-159.319,26.18,90,100,5.66,US,1690284818
284,fort bragg,35.139,-79.006,24.34,97,0,1.54,US,1690284818
285,red hill,33.9996,-79.2581,25.51,83,71,1.51,US,1690284818
286,buinsk,54.95,48.2833,24.59,48,82,5.73,RU,1690284819
287,monteagudo,-19.8167,-63.9833,13.46,72,100,0.73,BO,1690284819
288,palmas,-10.2128,-48.3603,25.93,47,0,2.06,BR,1690284820
289,cooper's town,26.8667,-77.5167,28.92,72,88,3.2,BS,1690284820
290,sasovo,54.3537,41.9199,22.46,73,94,4.93,RU,1690284821
291,ghat,24.9647,10.1728,40.2,9,4,7.12,LY,1690284822
292,mount isa,-20.7333,139.5,17.87,55,40,4.12,AU,1690284822
293,floro,61.5996,5.0328,16.04,82,75,5.14,NO,1690284822
294,nyurba,63.2842,118.3319,21.87,75,49,2.31,RU,1690284823
295,dudinka,69.4058,86.1778,23.68,47,0,7.08,RU,1690284824
296,baiti,13.745,-14.7482,32.54,56,68,1.93,SN,1690284824
297,yilan,24.757,121.753,30.31,93,66,3.58,TW,1690284663
298,susuman,62.7833,148.1667,15.24,83,96,2.25,RU,1690284825
299,ancud,-41.8697,-73.8203,9.18,89,96,9.28,CL,1690284825
300,walvis bay,-22.9575,14.5053,13.38,70,74,4.8,NA,1690284825
301,hirara,24.8,125.2833,29.92,84,75,8.23,JP,1690284826
302,tibagi,-24.5094,-50.4136,17.79,62,3,0.56,BR,1690284826
303,katsuren-haebaru,26.3369,127.8719,30.78,70,47,7.89,JP,1690284716
304,betare oya,5.6,14.0833,25.43,82,74,2.37,CM,1690284827
305,queenstown,-31.8976,26.8753,17.76,12,81,2.76,ZA,1690284425
306,majuro,7.0897,171.3803,27.98,83,75,1.54,MH,1690284827
307,opuwo,-18.0607,13.84,29.57,13,74,5.64,NA,1690284827
308,mogocha,53.7333,119.7667,16.34,98,92,1.7,RU,1690284828
309,divnomorskoye,44.5011,38.1353,27.13,54,2,4.08,RU,1690284828
310,gryazovets,58.88,40.2525,19.78,54,41,2.09,RU,1690284828
311,sinop,41.7711,34.8709,22.24,48,0,3.9,TR,1690284829
312,villa nueva,14.5269,-90.5875,18.01,94,40,5.14,GT,1690284626
313,cannonvale,-20.2833,148.7,21.66,77,84,9.83,AU,1690284829
314,bovril,-31.3431,-59.4451,9.39,91,100,4.74,AR,1690284830
315,kamaishi,39.2667,141.8833,24.81,82,50,1.75,JP,1690284729
316,minas de marcona,-15.2119,-75.1103,11.4,89,30,6.27,PE,1690284830
317,akureyri,65.6835,-18.0878,8.96,87,100,3.09,IS,1690284830
318,belyy yar,53.6039,91.3903,26.94,44,0,2.0,RU,1690284831
319,louisville,38.2542,-85.7594,20.29,93,0,1.54,US,1690284644
320,champerico,14.3,-91.9167,25.88,81,100,2.71,GT,1690284831
321,sibiti,-3.6819,13.3499,32.05,37,24,2.05,CG,1690284832
322,kerikeri,-35.2268,173.9474,11.06,91,61,0.45,NZ,1690284832
323,aflou,34.1128,2.1023,36.03,8,4,6.66,DZ,1690284832
324,katsuura,35.1333,140.3,25.27,90,38,4.42,JP,1690284729
325,sidi ifni,29.3797,-10.173,24.86,73,47,3.07,MA,1690284833
326,korsakov,46.6328,142.7813,20.91,96,6,3.41,RU,1690284833
327,jaguaruna,-28.615,-49.0256,22.91,84,71,2.41,BR,1690284833
328,freetown,8.484,-13.2299,24.84,94,75,4.12,SL,1690284834
329,codrington,-38.2667,141.9667,8.43,87,39,1.82,AU,1690284834
330,energetik,51.7445,58.7934,27.44,36,100,1.83,RU,1690284834
331,kourou,5.1552,-52.6478,24.03,85,49,2.2,GF,1690284834
332,gaspe,48.8334,-64.4819,20.95,88,40,1.54,CA,1690284835
333,kristiansund,63.1115,7.732,16.03,77,75,6.17,NO,1690284835
334,salahonda,2.1019,-78.7217,26.89,83,99,6.42,CO,1690284835
335,anloga,5.7947,0.8973,26.61,81,99,4.85,GH,1690284835
336,narimanov,46.6927,47.8498,25.95,44,67,3.71,RU,1690284836
337,chibougamau,49.9168,-74.3659,12.79,100,0,2.29,CA,1690284836
338,smithers,54.7804,-127.1743,12.18,94,100,1.03,CA,1690284836
339,kenora,49.8167,-94.4337,17.54,82,75,3.09,CA,1690284837
340,carnarvon,-24.8667,113.6333,18.67,91,100,6.68,AU,1690284837
341,lorengau,-2.0226,147.2712,25.47,91,100,6.07,PG,1690284837
342,vadso,70.0744,29.7487,11.09,93,100,6.17,NO,1690284838
343,praia da vitoria,38.7333,-27.0667,23.2,88,75,4.38,PT,1690284838
344,levuka,50.1834,-105.4011,18.9,94,75,1.54,CA,1690284838
345,trairi,-3.2778,-39.2689,28.68,51,17,5.59,BR,1690284839
346,ha'il,27.5219,41.6907,41.01,9,0,3.09,SA,1690284839
347,turpan,42.9333,89.1667,43.81,8,15,2.14,CN,1690284840
348,christchurch,-43.5333,172.6333,7.17,89,20,3.6,NZ,1690284600
349,bandarbeyla,9.4942,50.8122,29.69,54,4,14.96,SO,1690284840
350,dangriga,16.9692,-88.2321,27.3,84,22,5.37,BZ,1690284841
351,kanggye,40.9695,126.5852,22.24,96,96,1.1,KP,1690284842
352,maine soroa,13.2114,12.0241,35.78,31,34,4.8,NE,1690284842
353,ribeira brava,32.65,-17.0667,24.84,76,14,0.24,PT,1690284843
354,vorgashor,67.5833,63.95,19.21,75,100,3.03,RU,1690284843
355,zhumysker,49.3333,49.4,30.83,27,100,3.99,KZ,1690284844
356,labytnangi,66.6572,66.4183,23.96,60,100,4.15,RU,1690284844
357,tvoroyri,61.5556,-6.8111,9.6,80,94,2.8,FO,1690284845
358,crane,31.3974,-102.3501,24.37,65,0,4.19,US,1690284845
359,chekmagush,55.1319,54.6556,25.45,40,36,2.81,RU,1690284846
360,colonia,50.9333,6.95,19.9,61,20,4.63,DE,1690284781
361,edson,53.5835,-116.4356,14.08,100,100,1.54,CA,1690284847
362,pandan,14.0453,124.1694,27.64,80,100,9.21,PH,1690284847
363,yuzhno-kurilsk,44.0306,145.8556,19.58,96,18,0.32,RU,1690284848
364,lihue,21.9789,-159.3672,25.77,87,100,5.66,US,1690284848
